,Borough,Neighborhood,Latitude,Longitude
0,North York,Parkwoods,43.7532586,-79.3296565
1,North York,Victoria Village,43.72588229999999,-79.3155716
2,Downtown Toronto,Harbourfront,43.6542599,-79.36063589999999
3,Downtown Toronto,Regent Park,43.6542599,-79.36063589999999
4,North York,Lawrence Heights,43.718518,-79.4647633
5,North York,Lawrence Manor,43.718518,-79.4647633
6,Queen's Park,Queen's Park,43.6623015,-79.3894938
7,Etobicoke,Islington Avenue,43.6678556,-79.5322424
8,Scarborough,Rouge,43.8066863,-79.1943534
9,Scarborough,Malvern,43.8066863,-79.1943534
10,North York,Don Mills North,43.7459058,-79.352188
11,East York,Woodbine Gardens,43.7063972,-79.30993699999999
12,East York,Parkview Hill,43.7063972,-79.30993699999999
13,Downtown Toronto,Ryerson,43.6571618,-79.3789371
14,Downtown Toronto,Garden District,43.6571618,-79.3789371
15,North York,Glencairn,43.709577,-79.4450726
16,Etobicoke,Cloverdale,43.65094320000001,-79.5547244
17,Etobicoke,Islington,43.65094320000001,-79.5547244
18,Etobicoke,Martin Grove,43.65094320000001,-79.5547244
19,Etobicoke,Princess Gardens,43.65094320000001,-79.5547244
20,Etobicoke,West Deane Park,43.65094320000001,-79.5547244
21,Scarborough,Highland Creek,43.78453510000001,-79.1604971
22,Scarborough,Rouge Hill,43.78453510000001,-79.1604971
23,Scarborough,Port Union,43.78453510000001,-79.1604971
24,North York,Flemingdon Park,43.7258997,-79.34092299999999
25,North York,Don Mills South,43.7258997,-79.34092299999999
26,East York,Woodbine Heights,43.6953439,-79.3183887
27,Downtown Toronto,St. James Town,43.6514939,-79.3754179
28,York,Humewood-Cedarvale,43.6937813,-79.4281914
29,Etobicoke,Bloordale Gardens,43.6435152,-79.5772008
30,Etobicoke,Eringate,43.6435152,-79.5772008
31,Etobicoke,Markland Wood,43.6435152,-79.5772008
32,Etobicoke,Old Burnhamthorpe,43.6435152,-79.5772008
33,Scarborough,Guildwood,43.7635726,-79.1887115
34,Scarborough,Morningside,43.7635726,-79.1887115
35,Scarborough,West Hill,43.7635726,-79.1887115
36,East Toronto,The Beaches,43.6763574,-79.2930312
37,Downtown Toronto,Berczy Park,43.6447708,-79.37330639999999
38,York,Caledonia-Fairbanks,43.68902560000001,-79.453512
39,Scarborough,Woburn,43.7709921,-79.2169174
40,East York,Leaside,43.7090604,-79.3634517
41,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
42,Downtown Toronto,Christie,43.669542,-79.4225637
43,Scarborough,Cedarbrae,43.773136,-79.23947609999999
44,North York,Hillcrest Village,43.8037622,-79.3634517
45,North York,Bathurst Manor,43.7543283,-79.4422593
46,North York,Downsview North,43.7543283,-79.4422593
47,North York,Wilson Heights,43.7543283,-79.4422593
48,East York,Thorncliffe Park,43.7053689,-79.3493719
49,Downtown Toronto,Adelaide,43.65057119999999,-79.3845675
50,Downtown Toronto,King,43.65057119999999,-79.3845675
51,Downtown Toronto,Richmond,43.65057119999999,-79.3845675
52,West Toronto,Dovercourt Village,43.6690051,-79.4422593
53,West Toronto,Dufferin,43.6690051,-79.4422593
54,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
55,North York,Fairview,43.7785175,-79.3465557
56,North York,Henry Farm,43.7785175,-79.3465557
57,North York,Oriole,43.7785175,-79.3465557
58,North York,Northwood Park,43.7679803,-79.4872619
59,North York,York University,43.7679803,-79.4872619
60,East York,East Toronto,43.685347,-79.3381065
61,Downtown Toronto,Harbourfront East,43.6408157,-79.3817523
62,Downtown Toronto,Toronto Islands,43.6408157,-79.3817523
63,Downtown Toronto,Union Station,43.6408157,-79.3817523
64,West Toronto,Little Portugal,43.6479267,-79.4197497
65,West Toronto,Trinity,43.6479267,-79.4197497
66,Scarborough,East Birchmount Park,43.7279292,-79.2620294
67,Scarborough,Ionview,43.7279292,-79.2620294
68,Scarborough,Kennedy Park,43.7279292,-79.2620294
69,North York,Bayview Village,43.7869473,-79.385975
70,North York,CFB Toronto,43.7374732,-79.4647633
71,North York,Downsview East,43.7374732,-79.4647633
72,East Toronto,The Danforth West,43.6795571,-79.352188
73,East Toronto,Riverdale,43.6795571,-79.352188
74,Downtown Toronto,Design Exchange,43.6471768,-79.3815764
75,Downtown Toronto,Toronto Dominion Centre,43.6471768,-79.3815764
76,West Toronto,Brockton,43.6368472,-79.4281914
77,West Toronto,Exhibition Place,43.6368472,-79.4281914
78,West Toronto,Parkdale Village,43.6368472,-79.4281914
79,Scarborough,Clairlea,43.7111117,-79.2845772
80,Scarborough,Golden Mile,43.7111117,-79.2845772
81,Scarborough,Oakridge,43.7111117,-79.2845772
82,North York,Silver Hills,43.7574902,-79.37471409999999
83,North York,York Mills,43.7574902,-79.37471409999999
84,North York,Downsview West,43.7390146,-79.5069436
85,East Toronto,The Beaches West,43.6689985,-79.3155716
86,East Toronto,India Bazaar,43.6689985,-79.3155716
87,Downtown Toronto,Commerce Court,43.6481985,-79.3798169
88,Downtown Toronto,Victoria Hotel,43.6481985,-79.3798169
89,North York,Maple Leaf Park,43.7137562,-79.49007379999999
90,North York,North Park,43.7137562,-79.49007379999999
91,North York,Upwood Park,43.7137562,-79.49007379999999
92,North York,Humber Summit,43.7563033,-79.56596329999999
93,Scarborough,Cliffcrest,43.716316,-79.23947609999999
